date,close,v7_vwap_dist,future_return_5d
2021-06-07,1.12,,-0.03749999999999998
2021-06-08,1.122,,-0.04634581105169344
2021-06-09,1.109,,-0.03155996393146976
2021-06-10,1.113,,-0.02515723270440251
2021-06-11,1.093,,-0.008234217749313766
2021-06-15,1.078,,0.0018552875695732052
2021-06-16,1.07,,0.014018691588784993
2021-06-17,1.074,,0.013966480446927276
2021-06-18,1.085,,0.035023041474654404
2021-06-21,1.084,,0.02583025830258312
2021-06-22,1.08,,0.01574074074074061
2021-06-23,1.085,,0.022119815668202758
2021-06-24,1.089,,-0.011019283746556474
2021-06-25,1.123,,-0.06856634016028496
2021-06-28,1.112,,-0.05755395683453246
2021-06-29,1.097,,-0.03919781221513208
2021-06-30,1.109,,-0.04688908926961233
2021-07-01,1.077,,-0.020427112349117982
2021-07-02,1.046,,0.013384321223709472
2021-07-05,1.048,-0.04288809166960149,0.033396946564885344
2021-07-06,1.054,-0.03500995820143149,0.02182163187855779
2021-07-07,1.057,-0.02948624506959456,0.0066225165562914245
2021-07-08,1.055,-0.02932684809773364,0.02369668246445511
2021-07-09,1.06,-0.022382301963200405,0.018867924528301883
2021-07-12,1.083,-5.554815720979141e-05,-0.006463527239150446
2021-07-13,1.077,-0.0054171109891476025,-0.005571030640668551
2021-07-14,1.064,-0.017341005420583675,0.022556390977443552
2021-07-15,1.08,-0.0025272790662464227,0.024074074074074137
2021-07-16,1.08,-0.0026494656327652453,0.028703703703703676
2021-07-19,1.076,-0.005823931630805163,0.0037174721189590088
2021-07-20,1.071,-0.010137281925186656,-0.020541549953314697
2021-07-21,1.088,0.005299139080392327,-0.04687500000000011
2021-07-22,1.106,0.02108814652562475,-0.04972875226039797
2021-07-23,1.111,0.02574534006517789,-0.07470747074707462
2021-07-26,1.08,-0.0019187431933911263,-0.010185185185185297
2021-07-27,1.049,-0.02854124407034489,0.020019065776930578
2021-07-28,1.037,-0.037043572757556896,0.03375120540019294
2021-07-29,1.051,-0.021806428610987597,0.0019029495718363432
2021-07-30,1.028,-0.042337149831140675,0.02821011673151741
2021-08-02,1.069,-0.0035995310395739,0.01028999064546321
2021-08-03,1.07,-0.0033794643244195936,0.024299065420560817
2021-08-04,1.072,-0.0020231623020776418,0.013059701492537323
2021-08-05,1.053,-0.01969206842465073,0.024691358024691468
2021-08-06,1.057,-0.01603817920577019,0.02081362346263016
2021-08-09,1.08,0.00571842507253942,0.008333333333333304
2021-08-10,1.096,0.01996556474452734,-0.012773722627737238
2021-08-11,1.086,0.009807420594384534,0.06537753222836096
2021-08-12,1.079,0.003085642435195532,0.05004633920296575
2021-08-13,1.079,0.003408228442212726,0.05189990732159422
2021-08-16,1.089,0.011809399361782507,0.045913682277318735
2021-08-17,1.082,0.003988963201644805,0.07301293900184835
